2|5|
6|5|
13|5|
21|5|
32|1|
38|1|
41|1|
43|5|
49|5|
50|5|
53|1|
54|1|
55|5|
56|5|
57|1|
66|1|
67|5|
80|5|
85|5|
87|5|
88|5|
95|1|
96|5|
97|1|
107|5|
109|5|
113|1|
118|5|
121|5|
127|5|
130|5|
136|5|
137|5|
139|1|
141|1|
147|5|
151|5|
152|1|
167|1|
171|1|
176|1|
178|1|
179|5|
190|1|
199|5|
206|5|
207|5|
210|1|
216|1|
223|1|
225|1|
227|1|
234|1|
235|1|
238|5|
239|5|
241|5|
242|1|
246|5|
248|5|
250|1|
252|1|
255|5|
259|5|
263|5|
269|5|
270|5|
271|5|
277|1|
279|1|
280|1|
281|1|
287|1|
289|5|
294|5|
297|5|
298|5|
299|1|
310|5|
312|1|
315|1|
317|5|
318|5|
321|5|
322|1|
325|5|
329|1|
334|5|
338|1|
360|5|
363|1|
365|1|
366|5|
369|1|
372|5|
374|5|
375|5|
376|5|
377|5|
381|5|
382|1|
383|1|
385|5|
388|5|
394|5|
397|1|
408|5|
412|1|
417|5|
418|5|
419|1|
421|5|
427|1|
428|5|
431|1|
435|5|
438|5|
446|5|
449|1|
463|5|
474|5|
475|1|
479|5|
480|5|
486|1|
487|1|
490|5|
491|1|
493|5|
495|5|
497|5|
501|5|
507|1|
509|5|
517|5|
518|1|
519|5|
521|1|
530|5|
539|1|
544|5|
548|1|
552|1|
560|5|
561|1|
565|5|
571|5|
572|5|
577|1|
578|5|
590|5|
594|5|
600|5|
603|5|
604|1|
605|1|
611|5|
617|5|
618|1|
620|5|
622|5|
623|5|
627|1|
637|5|
641|1|
645|5|
646|5|
647|1|
649|1|
650|1|
652|5|
657|5|
659|1|
660|1|
663|5|
669|1|
671|1|
675|5|
676|5|
677|5|
678|5|
681|5|
683|5|
689|1|
695|1|
697|5|
698|5|
700|5|
706|5|
709|5|
710|1|
711|5|
712|1|
713|5|
717|5|
722|5|
730|1|
735|5|
746|5|
755|5|
760|5|
765|5|
767|1|
772|5|
785|1|
791|5|
795|5|
798|1|
804|1|
807|1|
833|5|
836|5|
841|5|
843|1|
844|5|
845|5|
847|1|
856|1|
865|1|
868|5|
877|1|
878|5|
879|1|
881|1|
882|5|
884|5|
885|1|
888|5|
889|1|
892|1|
894|1|
896|1|
897|1|
898|5|
902|1|
904|1|
909|1|
910|5|
914|5|
920|1|
922|1|
929|1|
931|5|
947|5|
949|5|
968|5|
970|5|
971|1|
978|5|
983|5|
995|1|
996|1|
997|1|
1002|1|
1004|1|
1011|1|
1018|5|
1021|5|
1026|5|
1034|1|
1039|5|
1046|5|
1047|1|
1050|1|
1052|5|
1055|1|
1056|5|
1062|1|
1063|1|
1076|5|
1081|1|
1082|1|
1086|5|
1088|5|
1089|5|
1091|1|
1095|5|
1099|1|
1101|1|
1110|1|
1111|5|
1112|1|
1114|5|
1115|1|
1116|5|
1124|5|
1126|5|
1128|5|
1129|5|
1131|5|
1132|5|
1133|5|
1141|1|
1149|5|
1162|1|
1163|1|
1169|5|
1171|1|
1172|1|
1174|5|
1178|5|
1185|5|
1187|1|
1188|5|
1190|1|
1209|5|
1210|1|
1211|5|
1216|1|
1220|1|
1224|5|
1227|5|
1232|5|
1241|5|
1245|5|
1246|5|
1248|1|
1251|1|
